#,,,,,,"generated_by='OpenQuake engine 3.20.1', start_date='2024-10-18T11:05:59', checksum=3289856554"
site_id,lon,lat,gmv_SA(0.3),gsd_SA(0.3),gmv_SA(1.0),gsd_SA(1.0)
0,1.16730E+02,-3.16700E+01,4.80841E-01,1.28599E+00,2.31144E-01,1.58002E+00
1,1.16740E+02,-3.17100E+01,5.17045E-01,1.27798E+00,2.51815E-01,1.57491E+00
2,1.16750E+02,-3.17300E+01,5.13071E-01,1.27881E+00,2.49525E-01,1.57549E+00
3,1.16760E+02,-3.17400E+01,4.81804E-01,1.32380E+00,1.97056E-01,1.53635E+00
4,1.16770E+02,-3.17700E+01,4.63493E-01,1.32482E+00,1.88964E-01,1.53674E+00
5,1.16780E+02,-3.17900E+01,4.62007E-01,1.29055E+00,2.20564E-01,1.58250E+00
6,1.16800E+02,-3.18000E+01,4.26945E-01,1.29978E+00,2.01196E-01,1.58681E+00
7,1.16800E+02,-3.18100E+01,4.27341E-01,1.29967E+00,2.01413E-01,1.58677E+00
8,1.16810E+02,-3.18200E+01,4.11839E-01,1.30407E+00,1.92987E-01,1.58854E+00
9,1.16810E+02,-3.18300E+01,4.12210E-01,1.30396E+00,1.93187E-01,1.58850E+00
10,1.16810E+02,-3.18600E+01,4.13328E-01,1.30364E+00,1.93792E-01,1.58837E+00
11,1.16800E+02,-3.18700E+01,4.04390E-01,1.32934E+00,1.63155E-01,1.53729E+00
12,1.16770E+02,-3.18900E+01,4.86965E-01,1.28457E+00,2.34610E-01,1.57918E+00
13,1.16770E+02,-3.19000E+01,4.71107E-01,1.32438E+00,1.92323E-01,1.53659E+00
14,1.16810E+02,-3.19600E+01,4.00922E-01,1.30733E+00,1.87107E-01,1.58982E+00
15,1.16810E+02,-3.19800E+01,3.89784E-01,1.31074E+00,1.81151E-01,1.59101E+00
16,1.16800E+02,-3.20100E+01,3.80380E-01,1.31371E+00,1.76159E-01,1.59200E+00
17,1.16810E+02,-3.20400E+01,3.46650E-01,1.32498E+00,1.58526E-01,1.59512E+00
18,1.16820E+02,-3.20500E+01,3.30765E-01,1.33068E+00,1.50373E-01,1.59640E+00
19,1.16820E+02,-3.20600E+01,3.23561E-01,1.33335E+00,1.46708E-01,1.59694E+00
20,1.16830E+02,-3.20700E+01,3.09451E-01,1.33875E+00,1.39590E-01,1.59790E+00
21,1.16560E+02,-3.16200E+01,4.75318E-01,1.32536E+00,1.94108E-01,1.53885E+00
22,1.16420E+02,-3.16200E+01,2.64972E-01,1.26023E+00,8.22043E-02,1.45383E+00
23,1.16150E+02,-3.21200E+01,1.45373E-01,1.31197E+00,4.91413E-02,1.42635E+00
24,1.16200E+02,-3.21500E+01,1.50558E-01,1.31127E+00,5.08283E-02,1.42865E+00
25,1.16510E+02,-3.18800E+01,1.15187E+00,1.36130E+00,3.90927E-01,1.47865E+00
26,1.16670E+02,-3.19100E+01,9.26416E-01,1.33734E+00,4.05795E-01,1.51481E+00
27,1.16780E+02,-3.19000E+01,4.67091E-01,1.28930E+00,2.23407E-01,1.58184E+00
28,1.16790E+02,-3.19000E+01,4.48309E-01,1.29404E+00,2.12946E-01,1.58424E+00
29,1.16950E+02,-3.19300E+01,2.32569E-01,1.35541E+00,9.11774E-02,1.52883E+00
30,1.17010E+02,-3.19500E+01,1.95561E-01,1.36457E+00,7.64530E-02,1.52299E+00
31,1.17090E+02,-3.19800E+01,1.92070E-01,1.39799E+00,8.40909E-02,1.60253E+00
32,1.17490E+02,-3.19800E+01,1.09257E-01,1.50480E+00,4.83006E-02,1.60279E+00
33,1.17600E+02,-3.19600E+01,1.00879E-01,1.52642E+00,4.50833E-02,1.59843E+00
34,1.17610E+02,-3.19600E+01,1.00157E-01,1.52893E+00,4.48084E-02,1.59865E+00
35,1.17880E+02,-3.19200E+01,5.42954E-02,1.42171E+00,2.15915E-02,1.33820E+00
36,1.16400E+02,-3.17800E+01,7.97668E-01,1.46736E+00,3.42823E-01,1.77540E+00
37,1.16520E+02,-3.17200E+01,1.01190E+00,1.36021E+00,4.47098E-01,1.56600E+00
38,1.16530E+02,-3.17100E+01,9.41149E-01,1.34910E+00,4.12336E-01,1.55091E+00
39,1.16670E+02,-3.16500E+01,5.20039E-01,1.32221E+00,2.14089E-01,1.53522E+00
40,1.16700E+02,-3.16400E+01,4.51110E-01,1.32561E+00,1.83517E-01,1.53696E+00
41,1.16760E+02,-3.16300E+01,3.59917E-01,1.33412E+00,1.44064E-01,1.53684E+00
42,1.16790E+02,-3.16300E+01,1.96557E-01,1.25027E+00,6.10348E-02,1.41465E+00
43,1.16990E+02,-3.16500E+01,2.29612E-01,1.37491E+00,1.01019E-01,1.60125E+00
44,1.18240E+02,-3.14900E+01,6.29243E-02,1.78045E+00,3.03999E-02,1.69951E+00
45,1.18290E+02,-3.14800E+01,5.99932E-02,1.78319E+00,2.92767E-02,1.69686E+00
46,1.16480E+02,-3.15500E+01,3.19863E-01,1.35164E+00,1.27106E-01,1.55238E+00
47,1.16490E+02,-3.15500E+01,3.21096E-01,1.34923E+00,1.27617E-01,1.54944E+00
48,1.16510E+02,-3.15300E+01,2.96344E-01,1.34841E+00,1.17277E-01,1.54167E+00
49,1.16620E+02,-3.14800E+01,2.45355E-01,1.35272E+00,9.63570E-02,1.53031E+00
50,1.16770E+02,-3.13500E+01,1.84681E-01,1.40308E+00,8.08382E-02,1.60266E+00
51,1.16670E+02,-3.16600E+01,5.52234E-01,1.32141E+00,2.28569E-01,1.53397E+00
52,1.17030E+02,-3.12000E+01,7.98143E-02,1.38805E+00,2.99530E-02,1.42048E+00
53,1.17720E+02,-3.15900E+01,5.98011E-02,1.38307E+00,2.33235E-02,1.32953E+00
54,1.16480E+02,-3.15900E+01,3.86957E-01,1.34782E+00,1.55611E-01,1.56164E+00
55,1.16480E+02,-3.15800E+01,2.22911E-01,1.24930E+00,6.91347E-02,1.42586E+00
56,1.16480E+02,-3.15700E+01,3.50579E-01,1.34947E+00,1.40067E-01,1.55673E+00
57,1.16460E+02,-3.15500E+01,3.17147E-01,1.35714E+00,1.25983E-01,1.55905E+00
58,1.16450E+02,-3.15100E+01,2.68291E-01,1.36332E+00,1.05716E-01,1.55238E+00
59,1.16440E+02,-3.15000E+01,2.57388E-01,1.36627E+00,1.01254E-01,1.55233E+00
60,1.16530E+02,-3.13400E+01,8.97260E-02,1.29081E+00,2.85513E-02,1.40444E+00
61,1.16510E+02,-3.12700E+01,1.33592E-01,1.39960E+00,5.25650E-02,1.51597E+00
62,1.16460E+02,-3.11200E+01,9.89468E-02,1.44216E+00,3.95063E-02,1.51335E+00
63,1.16430E+02,-3.14600E+01,2.22945E-01,1.37130E+00,8.73050E-02,1.54495E+00
64,1.17430E+02,-3.20600E+01,1.13102E-01,1.49918E+00,4.97966E-02,1.60875E+00
65,1.17540E+02,-3.20700E+01,1.04083E-01,1.51656E+00,4.63073E-02,1.59865E+00
66,1.16930E+02,-3.21100E+01,1.70437E-01,1.33404E+00,6.16612E-02,1.45720E+00
67,1.17010E+02,-3.20500E+01,1.81051E-01,1.36888E+00,7.07902E-02,1.51995E+00
68,1.16690E+02,-3.16100E+01,3.99921E-01,1.32977E+00,1.61223E-01,1.53728E+00
69,1.16750E+02,-3.14900E+01,2.28854E-01,1.35620E+00,8.96803E-02,1.52833E+00
70,1.16780E+02,-3.14700E+01,2.07420E-01,1.36135E+00,8.11258E-02,1.52512E+00
71,1.16790E+02,-3.14300E+01,2.18642E-01,1.38117E+00,9.59983E-02,1.60167E+00
72,1.16830E+02,-3.13000E+01,7.31621E-02,1.31006E+00,2.35352E-02,1.40426E+00
73,1.16160E+02,-3.19600E+01,1.93395E-01,1.30664E+00,6.48214E-02,1.44495E+00
74,1.16920E+02,-3.19300E+01,2.91357E-01,1.34592E+00,1.30575E-01,1.59884E+00
75,1.16950E+02,-3.19400E+01,2.68451E-01,1.35565E+00,1.19357E-01,1.59982E+00
76,1.18070E+02,-3.15400E+01,7.23294E-02,1.72171E+00,3.44268E-02,1.69187E+00
77,1.16570E+02,-3.17000E+01,8.95788E-01,1.33536E+00,3.90385E-01,1.52093E+00
78,1.18150E+02,-3.15200E+01,6.82290E-02,1.76090E+00,3.26669E-02,1.70562E+00
79,1.16820E+02,-3.12000E+01,1.08106E-01,1.43419E+00,4.29379E-02,1.51973E+00
80,1.17250E+02,-3.16900E+01,9.75927E-02,1.38073E+00,3.61156E-02,1.44377E+00
81,1.16760E+02,-3.16400E+01,2.25863E-01,1.24219E+00,7.00511E-02,1.41235E+00
82,1.16800E+02,-3.16300E+01,3.18405E-01,1.33976E+00,1.26520E-01,1.53556E+00
83,1.16820E+02,-3.16300E+01,2.99778E-01,1.34269E+00,1.18740E-01,1.53465E+00
84,1.16860E+02,-3.16400E+01,2.71989E-01,1.34754E+00,1.07245E-01,1.53279E+00
85,1.16690E+02,-3.16200E+01,4.19906E-01,1.32797E+00,1.69883E-01,1.53727E+00
86,1.16680E+02,-3.16200E+01,4.29677E-01,1.32717E+00,1.74138E-01,1.53720E+00
87,1.16660E+02,-3.16300E+01,4.73784E-01,1.32423E+00,1.93506E-01,1.53653E+00
88,1.16650E+02,-3.16400E+01,5.13707E-01,1.32243E+00,2.11255E-01,1.53543E+00
89,1.16640E+02,-3.16400E+01,5.23559E-01,1.32210E+00,2.15666E-01,1.53509E+00
90,1.16840E+02,-3.21200E+01,2.71952E-01,1.35420E+00,1.21057E-01,1.59981E+00
91,1.16800E+02,-3.21700E+01,2.21066E-01,1.35812E+00,8.65564E-02,1.52743E+00
92,1.16960E+02,-3.21200E+01,1.56698E-01,1.33695E+00,5.68102E-02,1.45291E+00
93,1.16880E+02,-3.20800E+01,2.72493E-01,1.35395E+00,1.21320E-01,1.59976E+00
94,1.17090E+02,-3.21400E+01,1.69605E-01,1.42180E+00,7.41999E-02,1.60891E+00
95,1.16750E+02,-3.21000E+01,3.01416E-01,1.34259E+00,1.19424E-01,1.53496E+00
96,1.16770E+02,-3.21200E+01,2.70724E-01,1.34793E+00,1.06726E-01,1.53289E+00
97,1.16970E+02,-3.20400E+01,2.01503E-01,1.36298E+00,7.87895E-02,1.52416E+00
98,1.17040E+02,-3.19900E+01,2.12340E-01,1.38497E+00,9.31432E-02,1.60193E+00
99,1.16440E+02,-3.10900E+01,6.60774E-02,1.34958E+00,2.33742E-02,1.37506E+00
100,1.16510E+02,-3.12800E+01,7.67151E-02,1.30394E+00,2.46113E-02,1.40358E+00
101,1.17840E+02,-3.20200E+01,5.55817E-02,1.41066E+00,2.19956E-02,1.33421E+00
102,1.17840E+02,-3.19100E+01,8.55935E-02,1.60470E+00,3.93365E-02,1.62554E+00
103,1.18130E+02,-3.21700E+01,6.94004E-02,1.74872E+00,3.33020E-02,1.70763E+00
104,1.17980E+02,-3.19300E+01,7.81576E-02,1.66478E+00,3.65823E-02,1.65784E+00
105,1.18160E+02,-3.20500E+01,4.44855E-02,1.53980E+00,1.84377E-02,1.39965E+00
106,1.17920E+02,-3.19500E+01,3.46887E-02,1.34129E+00,1.22041E-02,1.25472E+00
107,1.18280E+02,-3.14800E+01,6.05382E-02,1.78261E+00,2.94860E-02,1.69733E+00
108,1.18270E+02,-3.14800E+01,6.10897E-02,1.78206E+00,2.96976E-02,1.69782E+00
109,1.16420E+02,-3.15300E+01,2.85723E-01,1.36756E+00,1.12917E-01,1.56361E+00
110,1.16480E+02,-3.14100E+01,1.92553E-01,1.37024E+00,7.52626E-02,1.52851E+00
111,1.16500E+02,-3.14900E+01,2.52516E-01,1.35626E+00,9.92449E-02,1.53779E+00
112,1.16520E+02,-3.15700E+01,2.15055E-01,1.24538E+00,6.67011E-02,1.41692E+00
113,1.16450E+02,-3.15300E+01,2.90288E-01,1.36159E+00,1.14793E-01,1.55725E+00
114,1.16510E+02,-3.14900E+01,2.53063E-01,1.35495E+00,9.94668E-02,1.53630E+00
115,1.16440E+02,-3.14800E+01,2.39535E-01,1.36801E+00,9.39871E-02,1.54779E+00
116,1.16520E+02,-3.13300E+01,1.54429E-01,1.37854E+00,6.05372E-02,1.51382E+00
117,1.16370E+02,-3.15800E+01,3.33996E-01,1.36945E+00,1.33112E-01,1.57995E+00
118,1.17010E+02,-3.16600E+01,2.21568E-01,1.37946E+00,9.73310E-02,1.60156E+00
119,1.17010E+02,-3.16200E+01,1.53173E-01,1.33762E+00,5.55699E-02,1.45157E+00
120,1.17740E+02,-3.16600E+01,5.94696E-02,1.38478E+00,2.32190E-02,1.32945E+00
121,1.17730E+02,-3.16000E+01,5.94626E-02,1.38481E+00,2.32168E-02,1.32945E+00
122,1.16560E+02,-3.17400E+01,1.37836E+00,1.37905E+00,6.36060E-01,1.46615E+00
123,1.16530E+02,-3.17200E+01,1.03425E+00,1.35551E+00,4.58426E-01,1.54821E+00
124,1.16840E+02,-3.17100E+01,3.58434E-01,1.32083E+00,1.64636E-01,1.59394E+00
125,1.16630E+02,-3.15800E+01,3.74801E-01,1.33238E+00,1.50420E-01,1.53709E+00
126,1.16620E+02,-3.17100E+01,9.55423E-01,1.33945E+00,4.20170E-01,1.51214E+00
127,1.16610E+02,-3.17000E+01,8.89624E-01,1.33475E+00,3.87674E-01,1.51766E+00
128,1.16640E+02,-3.16300E+01,4.91253E-01,1.32334E+00,2.01248E-01,1.53611E+00
129,1.16550E+02,-3.16200E+01,2.94832E-01,1.22920E+00,9.13871E-02,1.40657E+00
130,1.16640E+02,-3.15400E+01,3.08659E-01,1.34126E+00,1.22443E-01,1.53511E+00
131,1.16580E+02,-3.17400E+01,1.44302E+00,1.39672E+00,6.71767E-01,1.44553E+00
132,1.16650E+02,-3.15700E+01,3.50736E-01,1.33526E+00,1.40160E-01,1.53664E+00
133,1.16820E+02,-3.15400E+01,1.72755E-01,1.29239E+00,5.80599E-02,1.41827E+00
134,1.16790E+02,-3.16400E+01,3.37824E-01,1.33697E+00,1.34693E-01,1.53628E+00
135,1.17380E+02,-3.18700E+01,1.20604E-01,1.49446E+00,5.32058E-02,1.62203E+00
136,1.17380E+02,-3.21100E+01,7.77958E-02,1.38532E+00,2.92589E-02,1.41261E+00
137,1.17410E+02,-3.19500E+01,7.81469E-02,1.38574E+00,2.93794E-02,1.41395E+00
138,1.17480E+02,-3.19600E+01,7.34124E-02,1.37083E+00,2.76486E-02,1.38457E+00
139,1.17470E+02,-3.19600E+01,7.40318E-02,1.37251E+00,2.78474E-02,1.38895E+00
140,1.17320E+02,-3.20300E+01,5.67577E-02,1.33535E+00,1.85679E-02,1.40354E+00
141,1.17150E+02,-3.18600E+01,1.20316E-01,1.35118E+00,4.40624E-02,1.44133E+00
142,1.17080E+02,-3.18200E+01,1.98350E-01,1.39378E+00,8.68744E-02,1.60233E+00
143,1.16930E+02,-3.17800E+01,2.82149E-01,1.34974E+00,1.26039E-01,1.59926E+00
144,1.16710E+02,-3.20700E+01,3.98455E-01,1.30816E+00,1.85785E-01,1.59023E+00
145,1.16700E+02,-3.17700E+01,6.87517E-01,1.25325E+00,3.54602E-01,1.54552E+00
146,1.16790E+02,-3.18100E+01,4.21155E-01,1.32786E+00,1.70426E-01,1.53726E+00
147,1.16890E+02,-3.17500E+01,3.14583E-01,1.33667E+00,1.42168E-01,1.59742E+00
148,1.16810E+02,-3.19400E+01,4.09200E-01,1.30487E+00,1.91562E-01,1.58889E+00
149,1.16990E+02,-3.19700E+01,2.40270E-01,1.36922E+00,1.05961E-01,1.60088E+00
150,1.16800E+02,-3.18400E+01,2.46423E-01,1.23773E+00,7.64006E-02,1.41042E+00
151,1.17060E+02,-3.17900E+01,2.06718E-01,1.38841E+00,9.06123E-02,1.60208E+00
152,1.16720E+02,-3.14900E+01,2.73843E-01,1.35328E+00,1.21977E-01,1.59960E+00
153,1.16960E+02,-3.17200E+01,2.58289E-01,1.36027E+00,1.14468E-01,1.60016E+00
154,1.16720E+02,-3.14400E+01,2.38642E-01,1.37004E+00,1.05202E-01,1.60091E+00
155,1.16760E+02,-3.14000E+01,2.09045E-01,1.38696E+00,9.16579E-02,1.60200E+00
156,1.16750E+02,-3.12500E+01,1.52086E-01,1.44867E+00,6.65900E-02,1.61848E+00
157,1.16620E+02,-3.14900E+01,2.54579E-01,1.35087E+00,1.00113E-01,1.53126E+00
158,1.16680E+02,-3.16500E+01,5.04959E-01,1.32275E+00,2.07349E-01,1.53571E+00
159,1.16190E+02,-3.17400E+01,1.75616E-01,1.27248E+00,5.46343E-02,1.43807E+00
160,1.16190E+02,-3.17500E+01,2.60938E-01,1.34574E+00,9.42693E-02,1.50697E+00
161,1.16310E+02,-3.17800E+01,4.44201E-01,1.36999E+00,1.62640E-01,1.57134E+00
162,1.16690E+02,-3.15400E+01,3.29249E-01,1.33115E+00,1.49599E-01,1.59637E+00
163,1.16680E+02,-3.18400E+01,8.44046E-01,1.33171E+00,3.65405E-01,1.52051E+00
164,1.17000E+02,-3.17300E+01,1.14284E-01,1.28214E+00,3.59661E-02,1.41255E+00
165,1.17140E+02,-3.16100E+01,7.60929E-02,1.30554E+00,2.44255E-02,1.40377E+00
166,1.16880E+02,-3.11400E+01,1.79547E-01,1.63051E+00,9.68972E-02,1.89875E+00
167,1.17170E+02,-3.19200E+01,1.66934E-01,1.42568E+00,7.30304E-02,1.61031E+00
168,1.17440E+02,-3.19500E+01,5.01064E-02,1.31875E+00,1.64772E-02,1.37063E+00
169,1.17310E+02,-3.19600E+01,1.05858E-01,1.43757E+00,4.20953E-02,1.52004E+00
170,1.16190E+02,-3.21100E+01,1.29249E-01,1.28482E+00,4.05013E-02,1.42708E+00
171,1.16660E+02,-3.17200E+01,8.42780E-01,1.33162E+00,3.64790E-01,1.52058E+00
172,1.17000E+02,-3.20000E+01,2.30421E-01,1.37450E+00,1.01392E-01,1.60127E+00
173,1.16150E+02,-3.15600E+01,2.04261E-01,1.37638E+00,7.98807E-02,1.54218E+00
174,1.16430E+02,-3.15300E+01,2.87423E-01,1.36598E+00,1.13617E-01,1.56209E+00
175,1.17860E+02,-3.20800E+01,5.44697E-02,1.42015E+00,2.16462E-02,1.33759E+00
176,1.16220E+02,-3.17600E+01,3.32226E-01,1.36960E+00,1.32364E-01,1.57969E+00
177,1.16670E+02,-3.20200E+01,5.26464E-01,1.32222E+00,2.16972E-01,1.53534E+00
178,1.17000E+02,-3.19900E+01,2.32017E-01,1.37363E+00,1.02129E-01,1.60121E+00
179,1.16230E+02,-3.17800E+01,2.07757E-01,1.26689E+00,6.45046E-02,1.44481E+00
180,1.16760E+02,-3.13000E+01,1.67198E-01,1.42529E+00,7.31458E-02,1.61016E+00
181,1.18050E+02,-3.21700E+01,7.33547E-02,1.71281E+00,3.48115E-02,1.68633E+00
182,1.17750E+02,-3.19800E+01,9.07479E-02,1.57206E+00,4.12594E-02,1.61086E+00
183,1.17730E+02,-3.18500E+01,6.03708E-02,1.38031E+00,2.35031E-02,1.32983E+00
184,1.18220E+02,-3.20500E+01,5.12434E-02,1.64385E+00,2.24847E-02,1.50714E+00
185,1.18060E+02,-3.20800E+01,7.37252E-02,1.70891E+00,3.49482E-02,1.68395E+00
186,1.17900E+02,-3.21000E+01,8.13031E-02,1.63737E+00,3.77450E-02,1.64250E+00
187,1.18020E+02,-3.21700E+01,7.47107E-02,1.69852E+00,3.53112E-02,1.67768E+00
188,1.18300E+02,-3.18900E+01,6.17216E-02,1.78147E+00,2.99397E-02,1.69839E+00
189,1.18040E+02,-3.18400E+01,7.51626E-02,1.69384E+00,3.54776E-02,1.67487E+00
190,1.17990E+02,-3.18500E+01,5.03183E-02,1.46427E+00,2.03428E-02,1.35865E+00
191,1.17930E+02,-3.18400E+01,5.23871E-02,1.44050E+00,2.09922E-02,1.34645E+00
192,1.18110E+02,-3.17900E+01,7.16479E-02,1.72778E+00,3.41711E-02,1.69567E+00
193,1.18100E+02,-3.18600E+01,7.22969E-02,1.72199E+00,3.44146E-02,1.69204E+00
194,1.17910E+02,-3.18700E+01,8.17091E-02,1.63403E+00,3.78952E-02,1.64068E+00
195,1.17920E+02,-3.18600E+01,8.11629E-02,1.63850E+00,3.76930E-02,1.64311E+00
196,1.18130E+02,-3.19700E+01,4.56940E-02,1.52422E+00,1.88792E-02,1.39421E+00
197,1.16360E+02,-3.18100E+01,5.14409E-01,1.35667E+00,1.72279E-01,1.56454E+00
198,1.17840E+02,-3.20400E+01,5.54793E-02,1.41150E+00,2.19634E-02,1.33448E+00
199,1.18140E+02,-3.19700E+01,7.02747E-02,1.74041E+00,3.36557E-02,1.70362E+00
200,1.18170E+02,-3.19400E+01,6.88678E-02,1.75401E+00,3.30141E-02,1.70664E+00
201,1.18120E+02,-3.17600E+01,7.10835E-02,1.73290E+00,3.39592E-02,1.69889E+00
202,1.17950E+02,-3.20000E+01,7.94783E-02,1.65289E+00,3.70701E-02,1.65109E+00
203,1.17710E+02,-3.20000E+01,6.11173E-02,1.37706E+00,2.37386E-02,1.33055E+00
204,1.17950E+02,-3.20300E+01,7.93192E-02,1.65430E+00,3.70113E-02,1.65188E+00
205,1.17960E+02,-3.20900E+01,7.83708E-02,1.66283E+00,3.66610E-02,1.65672E+00
206,1.18020E+02,-3.19000E+01,7.62064E-02,1.68338E+00,3.58624E-02,1.66867E+00
207,1.17900E+02,-3.19000E+01,5.35473E-02,1.42874E+00,2.13565E-02,1.34110E+00
208,1.17990E+02,-3.18200E+01,7.75329E-02,1.67058E+00,3.63517E-02,1.66118E+00
209,1.18040E+02,-3.18100E+01,5.85189E-02,1.56623E+00,2.53017E-02,1.48412E+00
210,1.18110E+02,-3.17200E+01,7.15092E-02,1.72904E+00,3.41191E-02,1.69646E+00
211,1.18100E+02,-3.21600E+01,5.51848E-02,1.60321E+00,2.41719E-02,1.50626E+00
212,1.18020E+02,-3.17100E+01,7.58676E-02,1.68674E+00,3.57375E-02,1.67065E+00
213,1.18040E+02,-3.17300E+01,3.18706E-02,1.39194E+00,1.14287E-02,1.27713E+00
214,1.18180E+02,-3.21700E+01,6.71233E-02,1.77314E+00,3.20693E-02,1.70393E+00
215,1.18100E+02,-3.20500E+01,7.19304E-02,1.72526E+00,3.42771E-02,1.69410E+00
216,1.18100E+02,-3.19600E+01,7.23150E-02,1.72184E+00,3.44214E-02,1.69196E+00
217,1.18150E+02,-3.18900E+01,6.98350E-02,1.74456E+00,3.34906E-02,1.70624E+00
218,1.17470E+02,-3.19000E+01,7.41592E-02,1.37288E+00,2.78883E-02,1.38986E+00
219,1.17540E+02,-3.20600E+01,6.90546E-02,1.36378E+00,2.62552E-02,1.35759E+00
220,1.18240E+02,-3.20100E+01,6.50736E-02,1.77897E+00,3.12201E-02,1.70161E+00
221,1.18210E+02,-3.19400E+01,6.70276E-02,1.77421E+00,3.20179E-02,1.70378E+00
222,1.18260E+02,-3.19800E+01,6.39832E-02,1.77967E+00,3.08043E-02,1.70053E+00
223,1.18330E+02,-3.17600E+01,5.97581E-02,1.78343E+00,2.91864E-02,1.69665E+00
224,1.17900E+02,-3.19400E+01,8.22688E-02,1.62955E+00,3.81026E-02,1.63828E+00
225,1.17710E+02,-3.16300E+01,9.23784E-02,1.56312E+00,4.18704E-02,1.60743E+00
226,1.18110E+02,-3.20900E+01,7.11396E-02,1.73241E+00,3.39804E-02,1.69858E+00
227,1.18020E+02,-3.19200E+01,7.62098E-02,1.68334E+00,3.58637E-02,1.66865E+00
228,1.16660E+02,-3.15900E+01,3.82077E-01,1.33158E+00,1.53539E-01,1.53717E+00
229,1.18330E+02,-3.21300E+01,5.90730E-02,1.78423E+00,2.89229E-02,1.69609E+00
230,1.18180E+02,-3.20200E+01,4.39502E-02,1.54709E+00,1.81934E-02,1.39814E+00
231,1.18290E+02,-3.17200E+01,3.97261E-02,1.56377E+00,1.66819E-02,1.39020E+00
232,1.18170E+02,-3.17300E+01,5.32760E-02,1.62466E+00,2.34041E-02,1.51183E+00
233,1.18180E+02,-3.18700E+01,6.83710E-02,1.75934E+00,3.27440E-02,1.70584E+00
234,1.17770E+02,-3.19200E+01,8.96958E-02,1.57817E+00,4.08658E-02,1.61337E+00
235,1.17770E+02,-3.18700E+01,3.85766E-02,1.29807E+00,1.32741E-02,1.25192E+00
236,1.17920E+02,-3.19600E+01,8.11686E-02,1.63847E+00,3.76952E-02,1.64310E+00
237,1.17920E+02,-3.18900E+01,5.28096E-02,1.43610E+00,2.11249E-02,1.34438E+00
238,1.18290E+02,-3.19500E+01,6.22881E-02,1.78097E+00,3.01566E-02,1.69891E+00
239,1.17950E+02,-3.20900E+01,7.88653E-02,1.65835E+00,3.68437E-02,1.65417E+00
240,1.17700E+02,-3.19800E+01,9.39080E-02,1.55532E+00,4.24452E-02,1.60474E+00
241,1.17930E+02,-3.18600E+01,5.24131E-02,1.44023E+00,2.10004E-02,1.34632E+00
242,1.16320E+02,-3.20900E+01,3.10790E-01,1.36942E+00,1.23355E-01,1.57362E+00
243,1.16210E+02,-3.19600E+01,1.83996E-01,1.27078E+00,5.72021E-02,1.43983E+00
244,1.16290E+02,-3.19700E+01,2.52375E-01,1.26343E+00,7.82989E-02,1.45505E+00
245,1.16170E+02,-3.19700E+01,2.34043E-01,1.34520E+00,8.44812E-02,1.49773E+00
246,1.16190E+02,-3.19800E+01,1.66985E-01,1.27444E+00,5.19938E-02,1.43625E+00
247,1.16240E+02,-3.20300E+01,3.03265E-01,1.36947E+00,1.20211E-01,1.57149E+00
248,1.16270E+02,-3.20500E+01,3.13942E-01,1.36941E+00,1.24675E-01,1.57450E+00
249,1.16270E+02,-3.19900E+01,2.21436E-01,1.26531E+00,6.87227E-02,1.44779E+00
250,1.16200E+02,-3.16600E+01,2.79312E-01,1.36997E+00,1.10270E-01,1.56466E+00
251,1.16190E+02,-3.16600E+01,1.59463E-01,1.27623E+00,4.96959E-02,1.43455E+00
252,1.16190E+02,-3.16500E+01,2.66628E-01,1.37052E+00,1.05048E-01,1.56106E+00
253,1.16640E+02,-3.16500E+01,5.59753E-01,1.32129E+00,2.31968E-01,1.53365E+00
254,1.16700E+02,-3.16300E+01,4.29771E-01,1.32716E+00,1.74179E-01,1.53720E+00
